Year,target,Annual greenhouse gas emissions in CO₂ equivalents,Change in global mean surface temperature caused by greenhouse gas emissions,Annual CO₂ emissions per GDP (kg per international-$),population,gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2
1950,9488155.0,72714740.0,0.0011427004,0.21607259,20977698.0,43911884800.0,2.475,183.836,3267.561,179.792,0.0,0.0,3306.885,1.569
1951,10184316.0,78670640.0,0.001186,0.20443127,21519608.0,49817800704.0,2.671,194.02,3398.854,187.886,0.0,0.0,3427.995,3.462
1952,10473534.0,82131000.0,0.0012315403,0.186766,22094504.0,56078381056.0,2.897,204.493,3536.383,195.79,0.0,0.0,3555.049,5.807
1953,12964756.0,89864340.0,0.0012815661,0.20687418,22690584.0,62669766656.0,3.158,217.458,3686.148,205.803,0.0,0.0,3691.851,8.497
1954,13433034.0,92651770.0,0.0013335274,0.21943271,23267966.0,61217095680.0,3.507,230.891,3837.249,216.051,0.0,0.0,3829.518,11.333
1955,13619423.0,97060220.0,0.0013882254,0.2048214,23821346.0,66494144512.0,3.914,244.511,3990.796,225.935,0.0,0.0,3969.446,14.661
1956,14358958.0,102586860.0,0.0014462587,0.20784624,24473658.0,69084520448.0,4.394,258.87,4146.82,236.498,0.0,0.0,4111.111,17.977
1957,15969929.0,108733600.0,0.0015082493,0.21304844,25238754.0,74959142912.0,5.019,274.84,4305.209,248.113,0.0,0.0,4253.53,21.707
1958,16034868.0,113578456.0,0.0015732051,0.20348449,26007696.0,78801428480.0,5.768,290.874,4460.958,260.05,0.0,0.0,4393.245,25.057
1959,17191804.0,117816460.0,0.0016407769,0.2074098,26768164.0,82888105984.0,6.626,308.066,4611.653,271.307,0.0,0.0,4526.747,30.134
1960,16798536.0,105357380.0,0.0017034739,0.19576827,27510982.0,85808267264.0,7.632,324.865,4716.642,282.628,0.0,0.0,4614.938,34.604
1961,17340838.0,110774300.0,0.0017677619,0.19766462,28255008.0,87728586752.0,8.635,342.206,4817.525,293.25,0.0,0.0,4698.479,40.32
1962,21604546.0,135963520.0,0.001843134,0.23082747,29033646.0,93596082176.0,9.784,363.81,4971.837,305.147,0.0,0.0,4831.187,48.879
1963,22639942.0,124728760.0,0.0019128566,0.21993741,29827882.0,102938107904.0,11.118,386.45,5078.69,318.107,0.0,0.0,4915.4,57.226
1964,26302962.0,126359750.0,0.0019832489,0.24393424,30612824.0,107828084736.0,12.571,412.753,5175.634,332.466,0.0,0.0,4986.042,67.716
1965,27352956.0,133771290.0,0.002057712,0.2459346,31374540.0,111220449280.0,14.217,440.106,5282.189,346.648,0.0,0.0,5065.244,79.241
1966,31505760.0,131607900.0,0.002131915,0.2521273,32172782.0,124959744000.0,16.129,471.612,5370.972,362.52,0.0,0.0,5122.52,92.963
1967,33479114.0,148558380.0,0.0022145845,0.25503415,33026492.0,131273064448.0,18.229,505.091,5482.853,377.552,0.0,0.0,5200.921,109.31
1968,36265490.0,178113740.0,0.00231088,0.25751776,33884076.0,140827131904.0,20.566,541.356,5674.638,392.888,0.0,0.0,5356.441,127.903
1969,38752696.0,157041310.0,0.0023973684,0.25983837,34721988.0,149141536768.0,23.43,580.109,5796.748,409.052,0.0,0.0,5439.799,147.628
1970,42579228.0,161949470.0,0.0024844462,0.2707476,35540988.0,157265379328.0,26.58,622.688,5921.647,426.533,0.0,0.0,5522.12,169.575
1971,47638156.0,175712340.0,0.0025756261,0.276204,36359956.0,172474531840.0,30.284,670.326,6083.233,444.233,0.0,0.0,5636.067,195.809
1972,53721840.0,162647730.0,0.0026607628,0.29069826,37188036.0,184802754560.0,34.391,724.048,6216.756,463.135,0.0,0.0,5715.868,226.523
1973,59310000.0,157960450.0,0.0027427413,0.30502608,38028236.0,194442379264.0,38.723,783.358,6331.234,482.378,0.0,0.0,5771.036,262.258
1974,60928644.0,148785120.0,0.002820062,0.28806126,38863424.0,211512786944.0,43.017,844.287,6432.243,502.321,0.0,0.0,5811.116,298.949
1975,65419330.0,151087620.0,0.0028972724,0.28223544,39673588.0,231789903872.0,48.119,909.706,6535.138,523.323,0.0,0.0,5848.592,338.264
